Disease,Symptoms,Description,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Average_Severity
Hypothyroidism,"[' fatigue', ' weight_gain', ' cold_hands_and_feets', ' mood_swings', ' lethargy', ' dizziness', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation']","Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",reduce stress,exercise,eat healthy,get proper sleep,4.076923076923077
Hyperthyroidism,"[' fatigue', ' mood_swings', ' weight_loss', ' restlessness', ' sweating', ' diarrhoea', ' fast_heart_rate', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation']","Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",eat healthy,massage,use lemon balm,take radioactive iodine treatment,3.909090909090909
Hypoglycemia,"[' vomiting', ' fatigue', ' anxiety', ' sweating', ' headache', ' nausea', ' blurred_and_distorted_vision', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations']", Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,lie down on side,check in pulse,drink sugary drinks,consult doctor,3.9166666666666665
Osteoarthristis,"[' joint_pain', ' neck_pain', ' knee_pain', ' hip_joint_pain', ' swelling_joints', ' painful_walking']","Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",acetaminophen,consult nearest hospital,follow up,salt baths,3.3333333333333335
Arthritis,"[' muscle_weakness', ' stiff_neck', ' swelling_joints', ' movement_stiffness', ' painful_walking']","Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",exercise,use hot and cold therapy,try acupuncture,massage,3.6
(vertigo) Paroymsal  Positional Vertigo,"[' vomiting', ' headache', ' nausea', ' spinning_movements', ' loss_of_balance', ' unsteadiness']",Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,lie down,avoid sudden change in body,avoid abrupt head movment,relax,4.5
Acne,"[' skin_rash', ' pus_filled_pimples', ' blackheads', ' scurring']","Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,2.25
Urinary tract infection,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine']","Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,4.0
Psoriasis,"[' skin_rash', ' joint_pain', ' skin_peeling', ' silver_like_dusting', ' small_dents_in_nails', ' inflammatory_nails']","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,2.5
Impetigo,"[' skin_rash', ' high_fever', ' blister', ' red_sore_around_nose', ' yellow_crust_ooze']","Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,3.8
Fungal infection,"['itching', ' skin_rash', ' nodal_skin_eruptions', ' dischromic _patches']","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,2.0
Allergy,"[' continuous_sneezing', ' shivering', ' chills', ' watering_from_eyes']","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine,cover area with bandage,,use ice to compress itching,4.0
GERD,"[' stomach_pain', ' acidity', ' ulcers_on_tongue', ' vomiting', ' cough', ' chest_pain']","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,4.666666666666667
Chronic cholestasis,"['itching', ' vomiting', ' yellowish_skin', ' nausea', ' loss_of_appetite', ' abdominal_pain', ' yellowing_of_eyes']","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy,3.7142857142857144
Drug Reaction,"['itching', ' skin_rash', ' stomach_pain', ' burning_micturition', ' spotting_ urination']",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up,3.0
Peptic ulcer diseae,"[' vomiting', ' indigestion', ' loss_of_appetite', ' abdominal_pain', ' passage_of_gases', ' internal_itching']","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,4.5
AIDS,"[' muscle_wasting', ' patches_in_throat', ' high_fever', ' extra_marital_contacts']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,5.25
Diabetes ,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level', ' blurred_and_distorted_vision', ' obesity', ' excessive_hunger', ' increased_appetite', ' polyuria']",,have balanced diet,exercise,consult doctor,follow up,4.1
Gastroenteritis,"[' vomiting', ' sunken_eyes', ' dehydration', ' diarrhoea']","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,4.5
Bronchial Asthma,"[' fatigue', ' cough', ' high_fever', ' breathlessness', ' family_history', ' mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,4.666666666666667
Hypertension ,"[' headache', ' chest_pain', ' dizziness', ' loss_of_balance', ' lack_of_concentration']",,meditation,salt baths,reduce stress,get proper sleep,4.2
Migraine,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances']","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor,3.5555555555555554
Cervical spondylosis,"[' back_pain', ' weakness_in_limbs', ' neck_pain', ' dizziness', ' loss_of_balance']","Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,4.6
Paralysis (brain hemorrhage),"[' vomiting', ' headache', ' weakness_of_one_body_side', ' altered_sensorium']","Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.",massage,eat healthy,exercise,consult doctor,3.5
Jaundice,"['itching', ' vomiting', ' fatigue', ' weight_loss', ' high_fever', ' yellowish_skin', ' dark_urine', ' abdominal_pain']","Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,3.875
Malaria,"[' chills', ' vomiting', ' high_fever', ' sweating', ' headache', ' nausea', ' diarrhoea', ' muscle_pain']",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,4.25
